loading words...
finished loading 2315 legal targets and 10657 additional legal guesses.
loading words...
finished loading 17723 legal targets and 0 additional legal guesses.
guess 1, score 1, remaining target count 1, ..., guess n (target)
58-46=12,⬜⬜⬜⬜⬜🟨🟨⬜,19,11+3-5=9,🟨⬜🟨🟨⬜⬜🟨🟨,1,3+97=100
58-46=12,⬜⬜⬜⬜⬜🟨🟨⬜,19,11+3-5=9,🟨⬜🟨🟩⬜⬜🟨🟨,1,7+93=100
58-46=12,⬜⬜⬜⬜⬜🟨🟨⬜,19,11+3-5=9,🟨⬜🟩🟨⬜⬜🟨🟨,1,93+7=100
58-46=12,⬜⬜⬜⬜⬜🟨🟨⬜,19,11+3-5=9,🟨⬜🟩🟩⬜⬜🟨🟨,1,97+3=100
58-46=12,⬜⬜⬜⬜⬜🟨🟨⬜,19,11+3-5=9,🟨🟨⬜⬜⬜⬜🟨🟨,1,9*19=171
58-46=12,⬜⬜⬜⬜⬜🟨🟨⬜,19,11+3-5=9,🟨🟨⬜🟨⬜⬜🟨🟨,1,7*19=133
58-46=12,⬜⬜⬜⬜⬜🟨🟨⬜,19,11+3-5=9,🟨🟨🟨⬜⬜⬜🟨🟨,1,9+91=100
58-46=12,⬜⬜⬜⬜⬜🟨🟨⬜,19,11+3-5=9,🟨🟨🟩⬜⬜⬜🟨🟨,1,99+1=100
58-46=12,⬜⬜⬜⬜⬜🟨🟨⬜,19,11+3-5=9,🟨🟩⬜⬜⬜⬜🟩🟩,1,711/79=9
58-46=12,⬜⬜⬜⬜⬜🟨🟨⬜,19,11+3-5=9,🟨🟩🟩⬜⬜⬜🟨🟨,1,91+9=100
58-46=12,⬜⬜⬜⬜⬜🟨🟨⬜,19,11+3-5=9,🟩🟨⬜⬜⬜⬜🟨🟨,1,19*9=171
58-46=12,⬜⬜⬜⬜⬜🟨🟨⬜,19,11+3-5=9,🟩🟨⬜⬜⬜⬜🟩🟩,1,171/19=9
58-46=12,⬜⬜⬜⬜⬜🟨🟨⬜,19,11+3-5=9,🟩🟨⬜🟨⬜⬜🟨🟨,1,19*7=133
58-46=12,⬜⬜⬜⬜⬜🟨🟨⬜,19,11+3-5=9,🟩🟨⬜🟨⬜⬜🟩🟨,1,133/19=7
58-46=12,⬜⬜⬜⬜⬜🟨🟨⬜,19,11+3-5=9,🟩🟨🟨⬜⬜⬜🟨🟨,1,1+99=100
58-46=12,⬜⬜⬜⬜⬜🟨🟨⬜,19,11+3-5=9,🟩🟩⬜⬜⬜⬜🟩🟨,1,119/17=7
58-46=12,⬜⬜⬜⬜⬜🟨🟨⬜,19,11+3-5=9,🟩🟩⬜🟨⬜⬜🟩⬜,1,111/37=3
58-46=12,⬜⬜⬜⬜⬜🟨🟨⬜,19,11+3-5=9,🟩🟩⬜🟨⬜⬜🟩🟨,1,117/39=3
58-46=12,⬜⬜⬜⬜⬜🟨🟨⬜,19,11+3-5=9,🟩🟩⬜🟨⬜⬜🟩🟩,1,117/13=9
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨⬜🟨⬜⬜🟨🟨⬜,4,2+99=101,🟨🟨🟨🟨🟩🟩🟩🟩,1,99+2=101
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨⬜🟨⬜⬜🟨🟨⬜,4,2+99=101,🟨🟨🟨🟩🟩🟩🟩🟩,1,92+9=101
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨⬜🟨⬜⬜🟨🟨⬜,4,2+99=101,🟨🟩🟩🟨🟩🟩🟩🟩,1,9+92=101
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨⬜🟨⬜⬜🟨🟨⬜,4,2+99=101
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨⬜🟨⬜🟨🟨🟩🟨,1,21/3+2=9
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨⬜🟨⬜🟩🟨🟩🟨,1,3+12/2=9
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨⬜🟨🟨🟨⬜🟩🟨,3,210/30=7,🟩🟨⬜🟩🟩⬜🟩🟩,1,231/33=7
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨⬜🟨🟨🟨⬜🟩🟨,3,210/30=7,🟩🟩⬜🟩🟩⬜🟩🟩,1,217/31=7
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨⬜🟨🟨🟨⬜🟩🟨,3,210/30=7
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨⬜🟨🟨🟨⬜🟩🟩,3,210/70=3,🟩🟨⬜🟩🟩⬜🟩🟩,1,231/77=3
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨⬜🟨🟨🟨⬜🟩🟩,3,210/70=3,🟩🟩⬜🟩🟩⬜🟩🟩,1,213/71=3
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨⬜🟨🟨🟨⬜🟩🟩,3,210/70=3
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨⬜🟨🟨🟨🟨🟩⬜,1,72/9+1=9
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨⬜🟨🟨🟨🟨🟩🟨,1,279/31=9
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨⬜🟨🟨🟨🟨🟩🟩,3,219/73=3,🟩🟨🟨🟩🟨⬜🟩🟩,1,291/97=3
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨⬜🟨🟨🟨🟨🟩🟩,3,219/73=3,🟩🟨🟨🟩🟨🟨🟩🟩,1,273/91=3
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨⬜🟨🟨🟨🟨🟩🟩,3,219/73=3
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨⬜🟨🟨🟩⬜🟩⬜,1,2+10/2=7
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨⬜🟨🟨🟩⬜🟩🟨,4,21/1/3=7,🟨🟨⬜⬜🟩🟩🟩🟩,1,3+12/3=7
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨⬜🟨🟨🟩⬜🟩🟨,4,21/1/3=7,🟩🟩🟩🟨🟩🟨🟩🟨,1,21/3/7=1
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨⬜🟨🟨🟩⬜🟩🟨,4,21/1/3=7,🟩🟩🟩🟨🟩🟨🟩🟩,1,21/3/1=7
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨⬜🟨🟨🟩⬜🟩🟨,4,21/1/3=7
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨⬜🟨🟨🟩⬜🟩🟩,1,21/1/7=3
