loading words... finished loading 5839 legal words.
considered guess ALEFS (92/5839), target ABETS (1/5839), score 0 -> 23
considered guess ALEPH (93/5839), target ABETS (1/5839), score 0 -> 75
considered guess ALERT (94/5839), target ABETS (1/5839), score 0 -> 78
considered guess ALGID (95/5839), target ABETS (1/5839), score 0 -> 444
considered guess ALGIN (96/5839), target ABETS (1/5839), score 0 -> 370
considered guess ALGOR (97/5839), target ABETS (1/5839), score 0 -> 327
considered guess ALGUM (98/5839), target ABETS (1/5839), score 0 -> 331
considered guess ALIEN (99/5839), target ABETS (1/5839), score 0 -> 1005
considered guess ALIFS (100/5839), target ABETS (1/5839), score 0 -> 216
considered guess ALIGN (101/5839), target ABETS (1/5839), score 0 -> 459
considered guess ALIKE (102/5839), target ABETS (1/5839), score 0 -> 742
considered guess ALINE (103/5839), target ABETS (1/5839), score 0 -> 638
considered guess ALIST (104/5839), target ABETS (1/5839), score 0 -> 263
considered guess ALIVE (105/5839), target ABETS (1/5839), score 0 -> 603
considered guess ALKIE (106/5839), target ABETS (1/5839), score 0 -> 744
considered guess ALKYD (107/5839), target ABETS (1/5839), score 0 -> 469
considered guess ALMEH (108/5839), target ABETS (1/5839), score 0 -> 813
considered guess ALMES (109/5839), target ABETS (1/5839), score 0 -> 278
considered guess ALMUD (110/5839), target ABETS (1/5839), score 0 -> 469
considered guess ALMUG (111/5839), target ABETS (1/5839), score 0 -> 377
considered guess ALOES (112/5839), target ABETS (1/5839), score 0 -> 332
considered guess ALOFT (113/5839), target ABETS (1/5839), score 0 -> 456
considered guess ALOIN (114/5839), target ABETS (1/5839), score 0 -> 344
considered guess ALONE (115/5839), target ABETS (1/5839), score 0 -> 657
considered guess ALONG (116/5839), target ABETS (1/5839), score 0 -> 404
considered guess ALOUD (117/5839), target ABETS (1/5839), score 0 -> 439
considered guess ALTER (118/5839), target ABETS (1/5839), score 0 -> 340
considered guess ALTHO (119/5839), target ABETS (1/5839), score 0 -> 504
considered guess ALTOS (120/5839), target ABETS (1/5839), score 0 -> 154
considered guess ALUMS (121/5839), target ABETS (1/5839), score 0 -> 203
considered guess AMBER (122/5839), target ABETS (1/5839), score 0 -> 199
considered guess AMBIT (123/5839), target ABETS (1/5839), score 0 -> 123
considered guess AMBLE (124/5839), target ABETS (1/5839), score 0 -> 175
considered guess AMBOS (125/5839), target ABETS (1/5839), score 0 -> 73
considered guess AMBRY (126/5839), target ABETS (1/5839), score 0 -> 483
considered guess AMEND (127/5839), target ABETS (1/5839), score 0 -> 85
considered guess AMENS (128/5839), target ABETS (1/5839), score 0 -> 29
considered guess AMENT (129/5839), target ABETS (1/5839), score 0 -> 66
considered guess AMICE (130/5839), target ABETS (1/5839), score 0 -> 615
considered guess AMIDE (131/5839), target ABETS (1/5839), score 0 -> 616
considered guess AMIDO (132/5839), target ABETS (1/5839), score 0 -> 398
considered guess AMIDS (133/5839), target ABETS (1/5839), score 0 -> 206
considered guess AMIES (134/5839), target ABETS (1/5839), score 0 -> 338
considered guess AMIGO (135/5839), target ABETS (1/5839), score 0 -> 394
considered guess AMINE (136/5839), target ABETS (1/5839), score 0 -> 638
considered guess AMINO (137/5839), target ABETS (1/5839), score 0 -> 355
considered guess AMINS (138/5839), target ABETS (1/5839), score 0 -> 226
considered guess AMIRS (139/5839), target ABETS (1/5839), score 0 -> 166
considered guess AMITY (140/5839), target ABETS (1/5839), score 0 -> 146
considered guess AMNIC (141/5839), target ABETS (1/5839), score 0 -> 340
considered guess AMNIO (142/5839), target ABETS (1/5839), score 0 -> 264
considered guess AMOKS (143/5839), target ABETS (1/5839), score 0 -> 231
